"","word","absolute.freqency","relative.frequency"
"via","via",149,0.0109045667447307
"possibl","possibl",148,0.0108313817330211
"enrol","enrol",146,0.0106850117096019
"nphw","nphw",146,0.0106850117096019
"cook","cook",145,0.0106118266978923
"save","save",145,0.0106118266978923
"septemb","septemb",145,0.0106118266978923
"januari","januari",142,0.0103922716627635
"parent","parent",142,0.0103922716627635
"resid","resid",142,0.0103922716627635
"watch","watch",142,0.0103922716627635
"improv","improv",141,0.0103190866510539
"let","let",141,0.0103190866510539
"board","board",140,0.0102459016393443
"lake","lake",140,0.0102459016393443
"flood","flood",139,0.0101727166276347
"summer","summer",138,0.0100995316159251
"wchd","wchd",138,0.0100995316159251
"hand","hand",137,0.0100263466042155
"nile","nile",137,0.0100263466042155
"observ","observ",137,0.0100263466042155
"chang","chang",136,0.00995316159250586
"remind","remind",136,0.00995316159250586
"std","std",136,0.00995316159250586
"step","step",136,0.00995316159250586
"winnebago","winnebago",136,0.00995316159250586
"dept","dept",135,0.00987997658079625
"last","last",135,0.00987997658079625
"saturday","saturday",135,0.00987997658079625
"student","student",135,0.00987997658079625
"updat","updat",135,0.00987997658079625
"world","world",135,0.00987997658079625
"blood","blood",134,0.00980679156908665
"octob","octob",133,0.00973360655737705
"receiv","receiv",133,0.00973360655737705
"say","say",133,0.00973360655737705
"weekend","weekend",133,0.00973360655737705
"breastfeed","breastfeed",132,0.00966042154566745
"night","night",132,0.00966042154566745
"winter","winter",132,0.00966042154566745
"adult","adult",129,0.00944086651053864
"annual","annual",129,0.00944086651053864
"peoria","peoria",129,0.00944086651053864
"alert","alert",128,0.00936768149882904
"read","read",128,0.00936768149882904
"road","road",128,0.00936768149882904
"teen","teen",128,0.00936768149882904
"mani","mani",127,0.00929449648711944
"spread","spread",126,0.00922131147540984
"manag","manag",125,0.00914812646370023
"thursday","thursday",125,0.00914812646370023
"love","love",124,0.00907494145199063
"aid","aid",123,0.00900175644028103
"hour","hour",123,0.00900175644028103
"knox","knox",122,0.00892857142857143
"area","area",121,0.00885538641686183
"everyon","everyon",121,0.00885538641686183
"heat","heat",121,0.00885538641686183
"give","give",120,0.00878220140515222
